symbol,confidence,contractions_count,base_length_days,volume_trend,breakout_detected,breakout_date,breakout_price,pullback_range_min,pullback_range_max,notes
GS,1.0,3,64,stable,True,2026-01-15,975.86,5.1,10.4,3 contractions detected; Pullback range: 5.1% - 10.4%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 1.00
AMD,0.95,2,34,decreasing,True,2026-01-14,223.6,5.0,12.6,2 contractions detected; Pullback range: 5.0% - 12.6%; Volume trend: decreasing; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.95
CI,0.95,2,43,decreasing,True,2026-01-22,280.39,3.3,7.6,2 contractions detected; Pullback range: 3.3% - 7.6%; Volume trend: decreasing; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.95
DXCM,0.95,2,60,decreasing,True,2026-01-20,70.73,6.0,6.6,2 contractions detected; Pullback range: 6.0% - 6.6%; Volume trend: decreasing; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.95
TXN,0.9,3,54,stable,True,2026-01-14,193.45,3.6,7.7,3 contractions detected; Pullback range: 3.6% - 7.7%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.90
CVS,0.9,2,36,stable,True,2026-01-15,80.7,5.0,8.5,2 contractions detected; Pullback range: 5.0% - 8.5%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.90
ILMN,0.9,3,37,stable,True,2026-01-14,143.97,5.7,6.0,3 contractions detected; Pullback range: 5.7% - 6.0%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.90
CME,0.9,3,47,stable,True,2026-01-16,279.5,4.1,6.3,3 contractions detected; Pullback range: 4.1% - 6.3%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.90
MO,0.9,3,38,stable,True,2026-01-14,61.47,3.0,3.7,3 contractions detected; Pullback range: 3.0% - 3.7%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.90
EXC,0.9,4,65,stable,True,2026-01-16,44.73,3.2,8.9,4 contractions detected; Pullback range: 3.2% - 8.9%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.90
WM,0.9,3,39,stable,True,2026-01-21,226.49,3.0,5.0,3 contractions detected; Pullback range: 3.0% - 5.0%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.90
CMCSA,0.9,3,60,stable,True,2026-01-14,28.42,5.5,6.6,3 contractions detected; Pullback range: 5.5% - 6.6%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.90
CDNS,0.8,2,36,stable,True,2026-01-26,322.02,6.6,8.9,2 contractions detected; Pullback range: 6.6% - 8.9%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
LLY,0.8,2,43,decreasing,False,,,5.1,12.1,2 contractions detected; Pullback range: 5.1% - 12.1%; Volume trend: decreasing; Price near recent highs; Confidence: 0.80
BMY,0.8,2,62,stable,True,2026-01-14,57.02,4.3,9.4,2 contractions detected; Pullback range: 4.3% - 9.4%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
GILD,0.8,2,49,stable,True,2026-01-21,129.11,7.7,8.3,2 contractions detected; Pullback range: 7.7% - 8.3%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
REGN,0.8,2,44,decreasing,False,,,5.0,12.5,2 contractions detected; Pullback range: 5.0% - 12.5%; Volume trend: decreasing; Price near recent highs; Confidence: 0.80
RMD,0.8,2,46,stable,True,2026-01-15,260.7,7.7,7.9,2 contractions detected; Pullback range: 7.7% - 7.9%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
MS,0.8,2,36,increasing,True,2026-01-15,191.23,5.2,5.2,2 contractions detected; Pullback range: 5.2% - 5.2%; Volume trend: increasing; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.80
SPGI,0.8,2,63,stable,True,2026-01-14,545.0,3.4,4.0,2 contractions detected; Pullback range: 3.4% - 4.0%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
MDLZ,0.8,2,32,stable,True,2026-01-14,57.23,3.2,7.8,2 contractions detected; Pullback range: 3.2% - 7.8%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
HSY,0.8,2,49,stable,True,2026-01-14,199.12,6.5,7.3,2 contractions detected; Pullback range: 6.5% - 7.3%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
EL,0.8,2,33,stable,True,2026-01-14,116.91,6.0,8.7,2 contractions detected; Pullback range: 6.0% - 8.7%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
SO,0.8,4,69,stable,True,2026-01-14,88.42,3.1,8.0,4 contractions detected; Pullback range: 3.1% - 8.0%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
HON,0.8,2,34,stable,True,2026-01-14,213.04,2.7,7.5,2 contractions detected; Pullback range: 2.7% - 7.5%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
UPS,0.8,2,57,stable,True,2026-01-14,107.4,4.4,4.8,2 contractions detected; Pullback range: 4.4% - 4.8%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
DE,0.8,2,22,stable,True,2026-01-14,512.1,6.8,7.8,2 contractions detected; Pullback range: 6.8% - 7.8%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
GD,0.8,2,37,stable,True,2026-01-14,364.51,3.4,3.8,2 contractions detected; Pullback range: 3.4% - 3.8%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
EQIX,0.8,2,34,stable,True,2026-01-14,799.02,3.2,4.9,2 contractions detected; Pullback range: 3.2% - 4.9%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
WELL,0.8,2,53,stable,True,2026-01-16,191.38,4.7,12.2,2 contractions detected; Pullback range: 4.7% - 12.2%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
CCI,0.8,2,36,stable,True,2026-01-15,90.41,6.8,7.7,2 contractions detected; Pullback range: 6.8% - 7.7%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
SHW,0.8,2,48,stable,True,2026-01-14,354.35,4.7,7.2,2 contractions detected; Pullback range: 4.7% - 7.2%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
MSFT,0.75,3,55,stable,False,,,4.1,9.3,3 contractions detected; Pullback range: 4.1% - 9.3%; Volume trend: stable; Price near recent highs; Confidence: 0.75
NVDA,0.75,3,57,stable,False,,,6.6,13.5,3 contractions detected; Pullback range: 6.6% - 13.5%; Volume trend: stable; Price near recent highs; Confidence: 0.75
ABT,0.75,3,49,stable,False,,,5.5,7.5,3 contractions detected; Pullback range: 5.5% - 7.5%; Volume trend: stable; Price near recent highs; Confidence: 0.75
UNH,0.7,2,34,stable,True,2026-01-21,347.75,5.8,6.8,2 contractions detected; Pullback range: 5.8% - 6.8%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.70
TMO,0.7,2,54,stable,True,2026-01-14,621.83,7.0,7.9,2 contractions detected; Pullback range: 7.0% - 7.9%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.70
ULTA,0.7,4,69,increasing,True,2026-01-21,683.45,2.5,9.3,4 contractions detected; Pullback range: 2.5% - 9.3%; Volume trend: increasing; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.70
APD,0.7,2,40,increasing,True,2026-01-14,267.25,4.2,13.7,2 contractions detected; Pullback range: 4.2% - 13.7%; Volume trend: increasing; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.70
ADBE,0.65,2,40,stable,False,,,5.2,8.4,2 contractions detected; Pullback range: 5.2% - 8.4%; Volume trend: stable; Price near recent highs; Confidence: 0.65
QCOM,0.65,2,54,stable,False,,,6.8,11.2,2 contractions detected; Pullback range: 6.8% - 11.2%; Volume trend: stable; Price near recent highs; Confidence: 0.65
INTU,0.65,2,31,stable,False,,,4.8,9.2,2 contractions detected; Pullback range: 4.8% - 9.2%; Volume trend: stable; Price near recent highs; Confidence: 0.65
IBM,0.65,2,36,stable,False,,,6.2,6.8,2 contractions detected; Pullback range: 6.2% - 6.8%; Volume trend: stable; Price near recent highs; Confidence: 0.65
NXPI,0.65,2,34,stable,False,,,7.5,7.7,2 contractions detected; Pullback range: 7.5% - 7.7%; Volume trend: stable; Price near recent highs; Confidence: 0.65
PANW,0.65,2,38,stable,False,,,4.9,11.3,2 contractions detected; Pullback range: 4.9% - 11.3%; Volume trend: stable; Price near recent highs; Confidence: 0.65
ABBV,0.65,2,55,stable,False,,,6.1,8.0,2 contractions detected; Pullback range: 6.1% - 8.0%; Volume trend: stable; Price near recent highs; Confidence: 0.65
MRK,0.65,2,57,stable,False,,,5.3,9.2,2 contractions detected; Pullback range: 5.3% - 9.2%; Volume trend: stable; Price near recent highs; Confidence: 0.65
ZTS,0.65,2,51,stable,False,,,6.8,10.8,2 contractions detected; Pullback range: 6.8% - 10.8%; Volume trend: stable; Price near recent highs; Confidence: 0.65
MMC,0.65,4,56,stable,False,,,2.6,4.7,4 contractions detected; Pullback range: 2.6% - 4.7%; Volume trend: stable; Price near recent highs; Confidence: 0.65
ALL,0.65,2,49,stable,False,,,5.4,7.3,2 contractions detected; Pullback range: 5.4% - 7.3%; Volume trend: stable; Price near recent highs; Confidence: 0.65
AXP,0.55,2,25,stable,False,,,3.8,4.3,2 contractions detected; Pullback range: 3.8% - 4.3%; Volume trend: stable; Price near recent highs; Confidence: 0.55
HUM,0.5,2,34,stable,False,,,5.4,7.2,2 contractions detected; Pullback range: 5.4% - 7.2%; Volume trend: stable; Confidence: 0.50
COIN,0.5,2,36,stable,False,,,8.4,20.8,2 contractions detected; Pullback range: 8.4% - 20.8%; Volume trend: stable; Confidence: 0.50
