symbol,confidence,contractions_count,base_length_days,volume_trend,breakout_detected,breakout_date,breakout_price,pullback_range_min,pullback_range_max,notes
AVGO,1.0,3,48,decreasing,True,2025-11-24,377.96,6.8,13.1,3 contractions detected; Pullback range: 6.8% - 13.1%; Volume trend: decreasing; Price near recent highs; Breakout detected with volume confirmation; Confidence: 1.00
AMAT,0.95,2,24,decreasing,True,2025-11-19,234.67,6.9,7.7,2 contractions detected; Pullback range: 6.9% - 7.7%; Volume trend: decreasing; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.95
TMO,0.95,2,37,decreasing,True,2025-11-12,588.02,4.6,5.5,2 contractions detected; Pullback range: 4.6% - 5.5%; Volume trend: decreasing; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.95
ADI,0.9,2,55,stable,True,2025-11-25,252.02,10.2,10.8,2 contractions detected; Pullback range: 10.2% - 10.8%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.90
DHR,0.9,2,32,stable,True,2025-11-13,221.2,8.1,8.4,2 contractions detected; Pullback range: 8.1% - 8.4%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.90
AMGN,0.9,3,51,stable,True,2025-11-12,333.9,5.2,6.2,3 contractions detected; Pullback range: 5.2% - 6.2%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.90
A,0.9,3,56,stable,True,2025-11-12,151.52,4.9,7.1,3 contractions detected; Pullback range: 4.9% - 7.1%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.90
JPM,0.9,2,44,stable,True,2025-11-12,320.41,6.9,7.0,2 contractions detected; Pullback range: 6.9% - 7.0%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.90
BAC,0.9,3,50,stable,True,2025-11-12,54.11,4.2,8.2,3 contractions detected; Pullback range: 4.2% - 8.2%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.90
GS,0.9,2,51,stable,True,2025-11-12,838.97,5.5,10.3,2 contractions detected; Pullback range: 5.5% - 10.3%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.90
MS,0.9,3,50,stable,True,2025-11-12,169.92,5.3,7.4,3 contractions detected; Pullback range: 5.3% - 7.4%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.90
SCHW,0.9,3,43,stable,True,2025-11-12,97.43,3.6,5.5,3 contractions detected; Pullback range: 3.6% - 5.5%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.90
PNC,0.9,2,50,stable,True,2025-11-24,188.52,4.0,13.7,2 contractions detected; Pullback range: 4.0% - 13.7%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.90
BK,0.9,3,50,stable,True,2025-11-12,112.64,2.4,6.4,3 contractions detected; Pullback range: 2.4% - 6.4%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.90
WMT,0.9,2,29,stable,True,2025-11-20,107.11,3.9,4.5,2 contractions detected; Pullback range: 3.9% - 4.5%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.90
DIS,0.9,2,42,stable,True,2025-11-12,116.65,4.7,6.5,2 contractions detected; Pullback range: 4.7% - 6.5%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.90
XOM,0.9,3,46,stable,True,2025-11-12,117.1,3.9,6.2,3 contractions detected; Pullback range: 3.9% - 6.2%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.90
DE,0.9,2,35,stable,True,2025-11-21,487.24,5.9,7.2,2 contractions detected; Pullback range: 5.9% - 7.2%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.90
VIA,0.9,2,31,decreasing,True,2025-11-12,50.5,8.0,11.6,2 contractions detected; Pullback range: 8.0% - 11.6%; Volume trend: decreasing; Breakout detected with volume confirmation; Confidence: 0.90
GOOGL,0.8,2,41,stable,True,2025-11-12,286.71,6.2,6.8,2 contractions detected; Pullback range: 6.2% - 6.8%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
GOOG,0.8,2,41,stable,True,2025-11-12,287.43,6.2,6.8,2 contractions detected; Pullback range: 6.2% - 6.8%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
MRK,0.8,2,41,stable,True,2025-11-12,91.45,8.4,8.6,2 contractions detected; Pullback range: 8.4% - 8.6%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
BMY,0.8,3,63,increasing,True,2025-11-12,49.08,6.0,10.4,3 contractions detected; Pullback range: 6.0% - 10.4%; Volume trend: increasing; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
GILD,0.8,2,40,stable,True,2025-11-12,123.4,6.1,6.2,2 contractions detected; Pullback range: 6.1% - 6.2%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
IDXX,0.8,4,45,stable,True,2025-11-12,713.56,3.7,9.2,4 contractions detected; Pullback range: 3.7% - 9.2%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
C,0.8,2,50,stable,True,2025-11-12,102.87,7.0,11.3,2 contractions detected; Pullback range: 7.0% - 11.3%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
AON,0.8,2,37,stable,True,2025-11-12,350.11,5.0,12.4,2 contractions detected; Pullback range: 5.0% - 12.4%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
PRU,0.8,2,37,stable,True,2025-11-12,106.38,5.0,5.5,2 contractions detected; Pullback range: 5.0% - 5.5%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
COP,0.8,2,49,stable,True,2025-11-14,90.53,6.0,14.1,2 contractions detected; Pullback range: 6.0% - 14.1%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
