symbol,confidence,contractions_count,base_length_days,volume_trend,breakout_detected,breakout_date,breakout_price,pullback_range_min,pullback_range_max,notes
NXPI,1.0,3,47,stable,True,2026-02-11,249.75,6.0,7.7,3 contractions detected; Pullback range: 6.0% - 7.7%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 1.00
RMD,1.0,3,55,stable,True,2026-02-04,263.03,4.2,7.9,3 contractions detected; Pullback range: 4.2% - 7.9%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 1.00
WELL,0.95,2,53,decreasing,True,2026-02-05,191.06,4.7,12.2,2 contractions detected; Pullback range: 4.7% - 12.2%; Volume trend: decreasing; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.95
NVDA,0.9,3,53,stable,True,2026-01-29,192.51,6.6,9.4,3 contractions detected; Pullback range: 6.6% - 9.4%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.90
META,0.9,2,48,stable,True,2026-01-29,738.31,10.2,10.9,2 contractions detected; Pullback range: 10.2% - 10.9%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.90
IBM,0.9,3,52,stable,True,2026-02-02,312.95,6.2,7.4,3 contractions detected; Pullback range: 6.2% - 7.4%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.90
OXY,0.9,2,55,stable,True,2026-01-29,45.42,6.8,9.7,2 contractions detected; Pullback range: 6.8% - 9.7%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.90
SO,0.9,3,54,stable,True,2026-01-29,89.14,3.1,8.0,3 contractions detected; Pullback range: 3.1% - 8.0%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.90
WM,0.9,4,58,stable,True,2026-01-29,223.13,3.0,5.0,4 contractions detected; Pullback range: 3.0% - 5.0%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.90
CMCSA,0.9,2,38,stable,True,2026-01-29,29.24,5.5,5.8,2 contractions detected; Pullback range: 5.5% - 5.8%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.90
TMUS,0.9,2,28,stable,True,2026-02-11,209.54,3.8,8.4,2 contractions detected; Pullback range: 3.8% - 8.4%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.90
MCHP,0.8,2,47,stable,True,2026-01-29,79.36,5.0,8.8,2 contractions detected; Pullback range: 5.0% - 8.8%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
PFE,0.8,2,43,stable,True,2026-01-29,26.1,4.0,6.8,2 contractions detected; Pullback range: 4.0% - 6.8%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
CME,0.8,2,32,stable,True,2026-01-29,289.83,4.1,6.3,2 contractions detected; Pullback range: 4.1% - 6.3%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
KMB,0.8,2,57,stable,True,2026-02-04,103.21,5.6,8.4,2 contractions detected; Pullback range: 5.6% - 8.4%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
MO,0.8,2,24,increasing,True,2026-01-29,59.76,3.0,3.0,2 contractions detected; Pullback range: 3.0% - 3.0%; Volume trend: increasing; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.80
HSY,0.8,2,49,stable,True,2026-01-30,194.75,6.5,7.3,2 contractions detected; Pullback range: 6.5% - 7.3%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
SLB,0.8,2,43,stable,True,2026-01-29,48.45,3.5,8.3,2 contractions detected; Pullback range: 3.5% - 8.3%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
AEP,0.8,2,53,stable,True,2026-01-29,118.27,3.6,8.2,2 contractions detected; Pullback range: 3.6% - 8.2%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
XEL,0.8,2,54,stable,True,2026-01-29,75.97,3.4,11.9,2 contractions detected; Pullback range: 3.4% - 11.9%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
MMM,0.8,2,43,stable,True,2026-02-06,172.65,7.0,7.1,2 contractions detected; Pullback range: 7.0% - 7.1%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
GD,0.8,2,37,stable,True,2026-01-29,349.95,3.4,3.8,2 contractions detected; Pullback range: 3.4% - 3.8%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
OTIS,0.8,2,59,stable,True,2026-02-04,90.37,3.6,3.7,2 contractions detected; Pullback range: 3.6% - 3.7%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
PCAR,0.8,2,55,stable,True,2026-01-29,123.32,3.3,3.6,2 contractions detected; Pullback range: 3.3% - 3.6%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
EQIX,0.8,3,47,stable,True,2026-01-29,826.05,3.2,4.9,3 contractions detected; Pullback range: 3.2% - 4.9%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
DLR,0.8,2,55,stable,True,2026-01-29,167.44,4.9,11.2,2 contractions detected; Pullback range: 4.9% - 11.2%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
O,0.8,2,46,stable,True,2026-01-29,60.51,3.8,4.0,2 contractions detected; Pullback range: 3.8% - 4.0%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
APD,0.8,2,40,increasing,True,2026-01-29,256.02,4.2,13.7,2 contractions detected; Pullback range: 4.2% - 13.7%; Volume trend: increasing; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.80
CDNS,0.75,3,49,stable,False,,,6.6,8.9,3 contractions detected; Pullback range: 6.6% - 8.9%; Volume trend: stable; Price near recent highs; Confidence: 0.75
EL,0.75,4,54,stable,False,,,5.6,8.7,4 contractions detected; Pullback range: 5.6% - 8.7%; Volume trend: stable; Price near recent highs; Confidence: 0.75
AAPL,0.65,2,30,stable,False,,,4.7,5.5,2 contractions detected; Pullback range: 4.7% - 5.5%; Volume trend: stable; Price near recent highs; Confidence: 0.65
INTC,0.65,2,62,stable,False,,,20.6,22.6,2 contractions detected; Pullback range: 20.6% - 22.6%; Volume trend: stable; Price near recent highs; Confidence: 0.65
UNH,0.65,3,51,stable,False,,,5.8,7.4,3 contractions detected; Pullback range: 5.8% - 7.4%; Volume trend: stable; Price near recent highs; Confidence: 0.65
ABT,0.65,2,36,stable,False,,,5.5,7.0,2 contractions detected; Pullback range: 5.5% - 7.0%; Volume trend: stable; Price near recent highs; Confidence: 0.65
ZTS,0.65,2,51,stable,False,,,6.8,10.8,2 contractions detected; Pullback range: 6.8% - 10.8%; Volume trend: stable; Price near recent highs; Confidence: 0.65
ISRG,0.65,2,33,stable,False,,,4.8,6.8,2 contractions detected; Pullback range: 4.8% - 6.8%; Volume trend: stable; Price near recent highs; Confidence: 0.65
CVS,0.65,3,56,increasing,False,,,5.0,8.5,3 contractions detected; Pullback range: 5.0% - 8.5%; Volume trend: increasing; Price near recent highs; Confidence: 0.65
EW,0.65,2,48,stable,False,,,6.9,7.1,2 contractions detected; Pullback range: 6.9% - 7.1%; Volume trend: stable; Price near recent highs; Confidence: 0.65
DIS,0.65,2,25,stable,False,,,4.8,6.2,2 contractions detected; Pullback range: 4.8% - 6.2%; Volume trend: stable; Price near recent highs; Confidence: 0.65
EXC,0.65,4,62,stable,False,,,3.2,8.9,4 contractions detected; Pullback range: 3.2% - 8.9%; Volume trend: stable; Price near recent highs; Confidence: 0.65
CCI,0.65,3,55,stable,False,,,6.8,8.0,3 contractions detected; Pullback range: 6.8% - 8.0%; Volume trend: stable; Price near recent highs; Confidence: 0.65
AMZN,0.55,2,57,stable,False,,,7.5,8.9,2 contractions detected; Pullback range: 7.5% - 8.9%; Volume trend: stable; Price near recent highs; Confidence: 0.55
PVH,0.55,2,34,increasing,False,,,15.4,16.3,2 contractions detected; Pullback range: 15.4% - 16.3%; Volume trend: increasing; Price near recent highs; Confidence: 0.55
HUM,0.5,2,34,stable,False,,,5.4,7.2,2 contractions detected; Pullback range: 5.4% - 7.2%; Volume trend: stable; Confidence: 0.50
ILMN,0.5,4,52,stable,False,,,5.7,9.5,4 contractions detected; Pullback range: 5.7% - 9.5%; Volume trend: stable; Confidence: 0.50
COIN,0.5,2,36,stable,False,,,8.4,20.8,2 contractions detected; Pullback range: 8.4% - 20.8%; Volume trend: stable; Confidence: 0.50
