symbol,confidence,contractions_count,base_length_days,volume_trend,breakout_detected,breakout_date,breakout_price,pullback_range_min,pullback_range_max,notes
BIIB,1.0,3,47,stable,True,2026-07-13,209.03,5.0,9.8,3 contractions detected; Pullback range: 5.0% - 9.8%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 1.00
CI,0.9,3,62,stable,True,2026-07-10,293.46,5.3,10.8,3 contractions detected; Pullback range: 5.3% - 10.8%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.90
COF,0.9,2,50,stable,True,2026-07-16,211.93,8.9,9.3,2 contractions detected; Pullback range: 8.9% - 9.3%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.90
MO,0.9,3,50,stable,True,2026-07-17,74.21,4.1,8.3,3 contractions detected; Pullback range: 4.1% - 8.3%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.90
AMZN,0.8,2,48,stable,True,2026-07-15,254.96,6.4,17.9,2 contractions detected; Pullback range: 6.4% - 17.9%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
META,0.8,2,48,increasing,True,2026-07-10,669.21,10.8,13.4,2 contractions detected; Pullback range: 10.8% - 13.4%; Volume trend: increasing; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.80
FTNT,0.8,2,41,stable,True,2026-07-10,157.51,6.5,11.3,2 contractions detected; Pullback range: 6.5% - 11.3%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
ANET,0.8,2,36,stable,True,2026-07-10,186.96,11.7,18.1,2 contractions detected; Pullback range: 11.7% - 18.1%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
UNH,0.8,2,64,stable,True,2026-07-10,424.62,3.8,7.3,2 contractions detected; Pullback range: 3.8% - 7.3%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
JNJ,0.8,2,46,stable,True,2026-07-10,256.98,5.7,5.8,2 contractions detected; Pullback range: 5.7% - 5.8%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
LLY,0.8,2,40,stable,True,2026-07-10,1188.58,8.4,8.8,2 contractions detected; Pullback range: 8.4% - 8.8%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
AMGN,0.8,2,46,stable,True,2026-07-10,363.39,6.3,6.8,2 contractions detected; Pullback range: 6.3% - 6.8%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
SYK,0.8,2,54,stable,True,2026-07-10,329.78,5.2,9.9,2 contractions detected; Pullback range: 5.2% - 9.9%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
A,0.8,2,41,stable,True,2026-07-23,139.74,7.9,12.3,2 contractions detected; Pullback range: 7.9% - 12.3%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
RMD,0.8,2,47,stable,True,2026-07-10,203.87,6.5,14.9,2 contractions detected; Pullback range: 6.5% - 14.9%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
V,0.8,2,58,stable,True,2026-07-16,365.14,5.6,7.8,2 contractions detected; Pullback range: 5.6% - 7.8%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
SCHW,0.8,2,56,stable,True,2026-07-10,103.12,7.6,10.1,2 contractions detected; Pullback range: 7.6% - 10.1%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
AIG,0.8,2,47,stable,True,2026-07-10,79.17,5.0,8.6,2 contractions detected; Pullback range: 5.0% - 8.6%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
ALL,0.8,2,49,stable,True,2026-07-10,251.61,3.4,10.7,2 contractions detected; Pullback range: 3.4% - 10.7%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
CB,0.8,2,49,stable,True,2026-07-10,347.83,3.9,7.6,2 contractions detected; Pullback range: 3.9% - 7.6%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
TGT,0.8,2,29,stable,True,2026-07-15,138.29,7.4,7.9,2 contractions detected; Pullback range: 7.4% - 7.9%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
CL,0.8,2,40,stable,True,2026-07-13,92.68,2.7,8.7,2 contractions detected; Pullback range: 2.7% - 8.7%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
ULTA,0.8,2,30,stable,True,2026-07-20,488.08,7.0,13.0,2 contractions detected; Pullback range: 7.0% - 13.0%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
EOG,0.8,2,34,stable,True,2026-07-21,143.44,9.3,9.7,2 contractions detected; Pullback range: 9.3% - 9.7%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
VLO,0.8,2,22,stable,True,2026-07-10,280.69,7.2,11.2,2 contractions detected; Pullback range: 7.2% - 11.2%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
AEP,0.8,2,42,stable,True,2026-07-10,135.43,3.2,6.3,2 contractions detected; Pullback range: 3.2% - 6.3%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
PCG,0.8,2,24,stable,True,2026-07-10,17.17,3.9,9.7,2 contractions detected; Pullback range: 3.9% - 9.7%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
WM,0.8,2,49,stable,True,2026-07-10,233.33,6.0,7.7,2 contractions detected; Pullback range: 6.0% - 7.7%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
OTIS,0.8,2,42,decreasing,False,,,5.8,6.2,2 contractions detected; Pullback range: 5.8% - 6.2%; Volume trend: decreasing; Price near recent highs; Confidence: 0.80
PCAR,0.8,2,21,stable,True,2026-07-10,124.57,4.2,5.1,2 contractions detected; Pullback range: 4.2% - 5.1%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
