symbol,confidence,contractions_count,base_length_days,volume_trend,breakout_detected,breakout_date,breakout_price,pullback_range_min,pullback_range_max,notes
BDX,1.0,3,53,stable,True,2025-12-10,198.4,3.5,16.1,3 contractions detected; Pullback range: 3.5% - 16.1%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 1.00
ADBE,0.9,2,45,stable,True,2025-12-10,343.13,8.4,11.2,2 contractions detected; Pullback range: 8.4% - 11.2%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.90
CSCO,0.9,3,61,stable,True,2025-12-10,80.25,5.6,5.9,3 contractions detected; Pullback range: 5.6% - 5.9%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.90
DHR,0.9,2,52,stable,True,2025-12-11,232.37,3.9,11.6,2 contractions detected; Pullback range: 3.9% - 11.6%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.90
EW,0.9,3,35,decreasing,False,,,4.3,7.9,3 contractions detected; Pullback range: 4.3% - 7.9%; Volume trend: decreasing; Price near recent highs; Confidence: 0.90
ILMN,0.9,3,52,stable,True,2025-12-10,134.91,6.0,8.1,3 contractions detected; Pullback range: 6.0% - 8.1%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.90
WFC,0.9,2,28,stable,True,2025-12-10,90.69,4.5,5.9,2 contractions detected; Pullback range: 4.5% - 5.9%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.90
SPGI,0.9,2,55,stable,True,2025-12-17,510.59,4.0,4.9,2 contractions detected; Pullback range: 4.0% - 4.9%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.90
MMC,0.9,3,67,stable,True,2025-12-12,186.21,2.8,16.2,3 contractions detected; Pullback range: 2.8% - 16.2%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.90
AON,0.9,3,51,stable,True,2025-12-22,355.46,4.3,12.4,3 contractions detected; Pullback range: 4.3% - 12.4%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.90
CB,0.9,2,44,stable,True,2025-12-10,296.54,3.9,8.7,2 contractions detected; Pullback range: 3.9% - 8.7%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.90
PEP,0.9,2,56,stable,True,2025-12-10,149.7,3.4,9.0,2 contractions detected; Pullback range: 3.4% - 9.0%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.90
MCD,0.9,3,43,stable,True,2025-12-10,310.53,3.0,5.9,3 contractions detected; Pullback range: 3.0% - 5.9%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.90
COP,0.9,2,49,stable,True,2025-12-10,96.8,5.8,6.0,2 contractions detected; Pullback range: 5.8% - 6.0%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.90
UNP,0.9,2,57,stable,True,2025-12-10,235.46,3.2,6.0,2 contractions detected; Pullback range: 3.2% - 6.0%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.90
NKE,0.85,3,46,stable,True,2025-12-11,67.74,5.5,14.4,3 contractions detected; Pullback range: 5.5% - 14.4%; Volume trend: stable; Breakout detected with volume confirmation; Confidence: 0.85
ADI,0.8,2,52,stable,True,2025-12-10,281.57,7.3,10.2,2 contractions detected; Pullback range: 7.3% - 10.2%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
UNH,0.8,4,64,stable,True,2025-12-12,341.84,5.8,17.5,4 contractions detected; Pullback range: 5.8% - 17.5%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
JNJ,0.8,2,56,stable,True,2025-12-11,210.01,3.8,5.0,2 contractions detected; Pullback range: 3.8% - 5.0%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
VRTX,0.8,4,56,stable,True,2025-12-10,444.64,4.8,6.8,4 contractions detected; Pullback range: 4.8% - 6.8%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
MA,0.8,2,49,stable,True,2025-12-12,571.93,7.0,7.3,2 contractions detected; Pullback range: 7.0% - 7.3%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
BAC,0.8,2,28,increasing,True,2025-12-10,54.08,4.2,5.4,2 contractions detected; Pullback range: 4.2% - 5.4%; Volume trend: increasing; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.80
BLK,0.8,2,58,stable,True,2025-12-11,1101.84,9.8,13.6,2 contractions detected; Pullback range: 9.8% - 13.6%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
SCHW,0.8,2,27,stable,True,2025-12-10,95.81,3.6,4.5,2 contractions detected; Pullback range: 3.6% - 4.5%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
AIG,0.8,2,36,increasing,True,2025-12-11,82.42,8.1,9.9,2 contractions detected; Pullback range: 8.1% - 9.9%; Volume trend: increasing; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.80
MET,0.8,2,69,stable,True,2025-12-11,82.25,8.9,10.1,2 contractions detected; Pullback range: 8.9% - 10.1%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
