symbol,confidence,contractions_count,base_length_days,volume_trend,breakout_detected,breakout_date,breakout_price,pullback_range_min,pullback_range_max,notes
IR,1.0,2,59,decreasing,True,2026-04-17,85.8,10.3,21.0,2 contractions detected; Pullback range: 10.3% - 21.0%; Volume trend: decreasing; Price near recent highs; Breakout detected with volume confirmation; Confidence: 1.00
PANW,0.95,2,53,decreasing,True,2026-04-21,174.96,16.6,18.1,2 contractions detected; Pullback range: 16.6% - 18.1%; Volume trend: decreasing; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.95
IQV,0.95,2,46,decreasing,True,2026-04-17,176.46,6.0,11.3,2 contractions detected; Pullback range: 6.0% - 11.3%; Volume trend: decreasing; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.95
ALGN,0.95,2,67,decreasing,True,2026-04-16,185.02,10.7,18.5,2 contractions detected; Pullback range: 10.7% - 18.5%; Volume trend: decreasing; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.95
MRNA,0.95,2,47,decreasing,True,2026-04-22,55.6,13.8,17.3,2 contractions detected; Pullback range: 13.8% - 17.3%; Volume trend: decreasing; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.95
ILMN,0.95,2,52,decreasing,True,2026-04-16,132.72,9.3,14.4,2 contractions detected; Pullback range: 9.3% - 14.4%; Volume trend: decreasing; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.95
SPGI,0.95,2,46,decreasing,True,2026-04-17,442.57,7.5,10.9,2 contractions detected; Pullback range: 7.5% - 10.9%; Volume trend: decreasing; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.95
BKNG,0.95,3,46,decreasing,True,2026-04-17,192.01,8.6,10.0,3 contractions detected; Pullback range: 8.6% - 10.0%; Volume trend: decreasing; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.95
RL,0.95,2,59,decreasing,True,2026-04-20,389.52,5.4,16.5,2 contractions detected; Pullback range: 5.4% - 16.5%; Volume trend: decreasing; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.95
JCI,0.95,2,47,decreasing,True,2026-04-17,140.87,9.0,12.1,2 contractions detected; Pullback range: 9.0% - 12.1%; Volume trend: decreasing; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.95
CARR,0.95,2,60,decreasing,True,2026-04-17,61.32,10.7,19.2,2 contractions detected; Pullback range: 10.7% - 19.2%; Volume trend: decreasing; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.95
AMD,0.9,2,28,stable,True,2026-04-16,278.26,8.1,13.1,2 contractions detected; Pullback range: 8.1% - 13.1%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.90
FTNT,0.9,3,68,stable,True,2026-04-22,87.09,11.6,16.1,3 contractions detected; Pullback range: 11.6% - 16.1%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.90
AON,0.9,3,42,stable,True,2026-04-16,335.34,6.4,8.9,3 contractions detected; Pullback range: 6.4% - 8.9%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.90
