symbol,confidence,contractions_count,base_length_days,volume_trend,breakout_detected,breakout_date,breakout_price,pullback_range_min,pullback_range_max,notes
ADBE,0.9,2,45,stable,True,2025-12-11,350.43,8.4,11.2,2 contractions detected; Pullback range: 8.4% - 11.2%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.90
UNH,0.9,3,45,stable,True,2025-12-12,341.84,5.8,17.5,3 contractions detected; Pullback range: 5.8% - 17.5%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.90
DHR,0.9,2,52,stable,True,2025-12-11,232.37,3.9,11.6,2 contractions detected; Pullback range: 3.9% - 11.6%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.90
VRTX,0.9,3,41,stable,True,2025-12-11,445.93,5.4,6.8,3 contractions detected; Pullback range: 5.4% - 6.8%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.90
EW,0.9,3,35,decreasing,False,,,4.3,7.9,3 contractions detected; Pullback range: 4.3% - 7.9%; Volume trend: decreasing; Price near recent highs; Confidence: 0.90
BDX,0.9,3,53,stable,True,2025-12-11,200.43,3.5,16.1,3 contractions detected; Pullback range: 3.5% - 16.1%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.90
ILMN,0.9,3,52,stable,True,2025-12-11,136.44,6.0,8.1,3 contractions detected; Pullback range: 6.0% - 8.1%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.90
SPGI,0.9,2,55,stable,True,2025-12-17,510.59,4.0,4.9,2 contractions detected; Pullback range: 4.0% - 4.9%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.90
MMC,0.9,3,67,stable,True,2025-12-12,186.21,2.8,16.2,3 contractions detected; Pullback range: 2.8% - 16.2%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.90
NKE,0.9,3,46,stable,True,2025-12-11,67.74,5.5,14.4,3 contractions detected; Pullback range: 5.5% - 14.4%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.90
MCD,0.9,3,43,stable,True,2025-12-11,309.71,3.0,5.9,3 contractions detected; Pullback range: 3.0% - 5.9%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.90
