symbol,confidence,contractions_count,base_length_days,volume_trend,breakout_detected,breakout_date,breakout_price,pullback_range_min,pullback_range_max,notes
SO,1.0,2,35,decreasing,True,2026-02-12,91.84,3.1,3.3,2 contractions detected; Pullback range: 3.1% - 3.3%; Volume trend: decreasing; Price near recent highs; Breakout detected with volume confirmation; Confidence: 1.00
MCD,0.9,2,57,stable,True,2026-02-12,332.08,2.8,7.3,2 contractions detected; Pullback range: 2.8% - 7.3%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.90
EXC,0.9,4,60,stable,True,2026-02-12,47.55,3.2,4.3,4 contractions detected; Pullback range: 3.2% - 4.3%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.90
DLR,0.9,2,27,stable,True,2026-02-12,180.31,3.6,4.9,2 contractions detected; Pullback range: 3.6% - 4.9%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.90
GILD,0.8,2,50,stable,True,2026-02-12,151.81,4.6,8.3,2 contractions detected; Pullback range: 4.6% - 8.3%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
ZTS,0.8,2,37,stable,True,2026-02-18,129.13,6.4,6.8,2 contractions detected; Pullback range: 6.4% - 6.8%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
GIS,0.8,2,56,stable,True,2026-02-12,48.58,5.2,13.1,2 contractions detected; Pullback range: 5.2% - 13.1%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
AEP,0.8,2,50,stable,True,2026-02-12,126.43,3.6,4.1,2 contractions detected; Pullback range: 3.6% - 4.1%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.80
NSC,0.8,2,58,stable,True,2026-02-12,314.54,5.4,5.7,2 contractions detected; Pullback range: 5.4% - 5.7%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
WM,0.8,4,63,stable,True,2026-02-13,234.52,3.0,6.3,4 contractions detected; Pullback range: 3.0% - 6.3%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
CMCSA,0.8,2,57,stable,True,2026-02-12,31.82,4.9,5.5,2 contractions detected; Pullback range: 4.9% - 5.5%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
WELL,0.8,2,49,stable,True,2026-02-12,207.4,4.7,5.6,2 contractions detected; Pullback range: 4.7% - 5.6%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.80
SHW,0.8,4,57,stable,True,2026-02-12,372.6,3.3,5.6,4 contractions detected; Pullback range: 3.3% - 5.6%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
HD,0.75,3,56,stable,False,,,3.8,7.8,3 contractions detected; Pullback range: 3.8% - 7.8%; Volume trend: stable; Price near recent highs; Confidence: 0.75
