symbol,confidence,contractions_count,base_length_days,volume_trend,breakout_detected,breakout_date,breakout_price,pullback_range_min,pullback_range_max,notes
BLK,0.95,2,50,decreasing,True,2026-05-11,1081.32,5.8,6.3,2 contractions detected; Pullback range: 5.8% - 6.3%; Volume trend: decreasing; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.95
SLB,0.95,2,32,decreasing,True,2026-05-11,54.93,6.0,10.9,2 contractions detected; Pullback range: 6.0% - 10.9%; Volume trend: decreasing; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.95
AVGO,0.9,3,65,stable,True,2026-05-14,439.79,7.5,17.7,3 contractions detected; Pullback range: 7.5% - 17.7%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.90
CSCO,0.9,2,27,stable,True,2026-05-11,98.72,4.6,8.2,2 contractions detected; Pullback range: 4.6% - 8.2%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.90
DXCM,0.9,2,32,stable,True,2026-05-19,66.95,8.5,11.9,2 contractions detected; Pullback range: 8.5% - 11.9%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.90
WMT,0.9,3,45,stable,True,2026-05-14,132.46,4.9,7.0,3 contractions detected; Pullback range: 4.9% - 7.0%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.90
CL,0.9,3,32,stable,True,2026-05-11,86.74,4.2,4.6,3 contractions detected; Pullback range: 4.2% - 4.6%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.90
FOXA,0.9,4,60,stable,True,2026-05-11,67.72,5.1,7.5,4 contractions detected; Pullback range: 5.1% - 7.5%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.90
WELL,0.9,3,57,stable,True,2026-05-13,220.14,5.0,10.2,3 contractions detected; Pullback range: 5.0% - 10.2%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.90
NVDA,0.8,2,59,stable,True,2026-05-11,219.44,10.2,13.0,2 contractions detected; Pullback range: 10.2% - 13.0%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
TSLA,0.8,2,63,stable,True,2026-05-11,445.0,11.1,19.0,2 contractions detected; Pullback range: 11.1% - 19.0%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
ORCL,0.8,2,64,stable,True,2026-05-11,193.84,15.3,21.4,2 contractions detected; Pullback range: 15.3% - 21.4%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
ADI,0.8,2,49,stable,True,2026-05-11,422.73,6.3,8.4,2 contractions detected; Pullback range: 6.3% - 8.4%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
LRCX,0.8,2,31,stable,True,2026-05-11,296.05,7.4,17.7,2 contractions detected; Pullback range: 7.4% - 17.7%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
SNPS,0.8,2,49,stable,True,2026-05-11,516.19,6.6,14.1,2 contractions detected; Pullback range: 6.6% - 14.1%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
FTNT,0.8,2,36,stable,True,2026-05-11,115.44,11.6,11.8,2 contractions detected; Pullback range: 11.6% - 11.8%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
VRTX,0.8,2,65,stable,True,2026-05-12,448.29,7.9,16.3,2 contractions detected; Pullback range: 7.9% - 16.3%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
V,0.8,2,35,stable,True,2026-05-11,323.19,4.7,4.7,2 contractions detected; Pullback range: 4.7% - 4.7%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
ALL,0.8,2,49,stable,True,2026-05-18,221.21,4.5,5.0,2 contractions detected; Pullback range: 4.5% - 5.0%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
TRV,0.8,2,42,stable,True,2026-05-20,306.96,4.5,7.9,2 contractions detected; Pullback range: 4.5% - 7.9%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
KO,0.8,2,43,stable,True,2026-05-11,78.66,4.8,5.6,2 contractions detected; Pullback range: 4.8% - 5.6%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
SBUX,0.8,2,63,stable,True,2026-05-11,105.12,4.9,16.4,2 contractions detected; Pullback range: 4.9% - 16.4%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
BKNG,0.8,2,34,decreasing,False,,,8.6,10.0,2 contractions detected; Pullback range: 8.6% - 10.0%; Volume trend: decreasing; Price near recent highs; Confidence: 0.80
MO,0.8,2,46,stable,True,2026-05-11,68.61,5.7,6.7,2 contractions detected; Pullback range: 5.7% - 6.7%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
CARR,0.8,2,38,stable,True,2026-05-11,65.88,10.7,11.2,2 contractions detected; Pullback range: 10.7% - 11.2%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
LIN,0.8,2,45,stable,True,2026-05-13,513.26,4.2,5.4,2 contractions detected; Pullback range: 4.2% - 5.4%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
