symbol,confidence,contractions_count,base_length_days,volume_trend,breakout_detected,breakout_date,breakout_price,pullback_range_min,pullback_range_max,notes
ABBV,0.9,3,49,stable,True,2026-06-09,225.42,5.0,10.2,3 contractions detected; Pullback range: 5.0% - 10.2%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.90
BDX,0.9,3,53,stable,True,2026-06-09,152.04,5.0,10.6,3 contractions detected; Pullback range: 5.0% - 10.6%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.90
PCG,0.9,3,57,stable,True,2026-06-11,16.79,3.9,15.4,3 contractions detected; Pullback range: 3.9% - 15.4%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.90
PSA,0.9,3,50,stable,True,2026-06-09,319.89,5.4,7.6,3 contractions detected; Pullback range: 5.4% - 7.6%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.90
SPG,0.9,3,52,stable,True,2026-06-09,211.89,3.2,4.7,3 contractions detected; Pullback range: 3.2% - 4.7%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.90
TXN,0.8,2,33,stable,True,2026-06-15,313.34,5.9,8.2,2 contractions detected; Pullback range: 5.9% - 8.2%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
MCHP,0.8,2,27,stable,True,2026-06-15,100.32,10.0,15.8,2 contractions detected; Pullback range: 10.0% - 15.8%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
LLY,0.8,2,59,stable,True,2026-06-11,1160.95,8.4,11.8,2 contractions detected; Pullback range: 8.4% - 11.8%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
VRTX,0.8,2,51,stable,True,2026-06-17,458.99,7.9,8.0,2 contractions detected; Pullback range: 7.9% - 8.0%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
MRNA,0.8,2,44,stable,True,2026-06-17,61.8,22.3,26.2,2 contractions detected; Pullback range: 22.3% - 26.2%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.80
ILMN,0.8,2,44,stable,True,2026-06-09,160.03,8.1,13.5,2 contractions detected; Pullback range: 8.1% - 13.5%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
BRK.B,0.8,2,57,stable,True,2026-06-15,495.52,4.4,4.9,2 contractions detected; Pullback range: 4.4% - 4.9%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
SCHW,0.8,2,33,stable,True,2026-06-16,93.67,5.3,12.8,2 contractions detected; Pullback range: 5.3% - 12.8%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
AON,0.8,2,55,stable,True,2026-06-09,331.59,5.8,9.2,2 contractions detected; Pullback range: 5.8% - 9.2%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
