symbol,confidence,contractions_count,base_length_days,volume_trend,breakout_detected,breakout_date,breakout_price,pullback_range_min,pullback_range_max,notes
BDX,1.0,3,53,stable,True,2025-12-15,200.09,3.5,16.1,3 contractions detected; Pullback range: 3.5% - 16.1%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 1.00
UNH,0.9,3,45,stable,True,2025-12-15,341.1,5.8,17.5,3 contractions detected; Pullback range: 5.8% - 17.5%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.90
VRTX,0.9,3,41,stable,True,2025-12-15,455.71,5.4,6.8,3 contractions detected; Pullback range: 5.4% - 6.8%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.90
EW,0.9,3,35,decreasing,False,,,4.3,7.9,3 contractions detected; Pullback range: 4.3% - 7.9%; Volume trend: decreasing; Price near recent highs; Confidence: 0.90
ILMN,0.9,3,52,stable,True,2025-12-15,134.92,6.0,8.1,3 contractions detected; Pullback range: 6.0% - 8.1%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.90
NKE,0.9,3,46,stable,True,2025-12-15,67.78,5.5,14.4,3 contractions detected; Pullback range: 5.5% - 14.4%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.90
MCD,0.9,4,57,stable,True,2025-12-15,318.73,2.5,5.9,4 contractions detected; Pullback range: 2.5% - 5.9%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.90
SBUX,0.9,3,51,increasing,True,2025-12-18,89.42,6.7,10.9,3 contractions detected; Pullback range: 6.7% - 10.9%; Volume trend: increasing; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.90
HON,0.9,3,55,stable,True,2025-12-15,197.45,2.7,7.7,3 contractions detected; Pullback range: 2.7% - 7.7%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.90
IR,0.9,2,44,stable,True,2025-12-15,81.63,3.3,11.0,2 contractions detected; Pullback range: 3.3% - 11.0%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.90
ECL,0.9,2,38,stable,True,2025-12-19,263.59,4.6,10.4,2 contractions detected; Pullback range: 4.6% - 10.4%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.90
DOW,0.9,2,45,stable,True,2025-12-15,23.45,9.7,16.7,2 contractions detected; Pullback range: 9.7% - 16.7%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.90
ADBE,0.8,2,45,stable,True,2025-12-15,351.15,8.4,11.2,2 contractions detected; Pullback range: 8.4% - 11.2%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
ADI,0.8,2,52,stable,True,2025-12-15,280.44,7.3,10.2,2 contractions detected; Pullback range: 7.3% - 10.2%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
JNJ,0.8,2,56,stable,True,2025-12-15,214.17,3.8,5.0,2 contractions detected; Pullback range: 3.8% - 5.0%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
MA,0.8,2,49,stable,True,2025-12-15,569.13,7.0,7.3,2 contractions detected; Pullback range: 7.0% - 7.3%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
WFC,0.8,2,28,stable,True,2025-12-15,92.9,4.5,5.9,2 contractions detected; Pullback range: 4.5% - 5.9%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
SCHW,0.8,2,27,stable,True,2025-12-15,95.28,3.6,4.5,2 contractions detected; Pullback range: 3.6% - 4.5%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
MMC,0.8,2,32,stable,True,2025-12-15,187.3,2.8,4.7,2 contractions detected; Pullback range: 2.8% - 4.7%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
AON,0.8,2,28,stable,True,2025-12-22,355.46,4.3,5.0,2 contractions detected; Pullback range: 4.3% - 5.0%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
PEP,0.8,2,56,stable,True,2025-12-15,151.22,3.4,9.0,2 contractions detected; Pullback range: 3.4% - 9.0%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
TJX,0.8,2,62,stable,True,2025-12-15,156.71,3.4,5.2,2 contractions detected; Pullback range: 3.4% - 5.2%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
CL,0.8,2,30,stable,True,2025-12-23,79.93,2.6,7.3,2 contractions detected; Pullback range: 2.6% - 7.3%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
LULU,0.8,2,52,stable,True,2025-12-15,206.29,7.1,14.2,2 contractions detected; Pullback range: 7.1% - 14.2%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
COP,0.8,2,49,stable,True,2025-12-15,94.36,5.8,6.0,2 contractions detected; Pullback range: 5.8% - 6.0%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
