symbol,confidence,contractions_count,base_length_days,volume_trend,breakout_detected,breakout_date,breakout_price,pullback_range_min,pullback_range_max,notes
SO,0.95,2,35,decreasing,True,2026-02-09,88.68,3.1,3.3,2 contractions detected; Pullback range: 3.1% - 3.3%; Volume trend: decreasing; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.95
META,0.8,2,48,stable,True,2026-02-09,677.22,10.2,10.9,2 contractions detected; Pullback range: 10.2% - 10.9%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
GILD,0.8,2,50,stable,True,2026-02-09,151.68,4.6,8.3,2 contractions detected; Pullback range: 4.6% - 8.3%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
ZTS,0.8,2,37,stable,True,2026-02-09,127.3,6.4,6.8,2 contractions detected; Pullback range: 6.4% - 6.8%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
MCD,0.8,2,57,stable,True,2026-02-09,325.6,2.8,7.3,2 contractions detected; Pullback range: 2.8% - 7.3%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
GIS,0.8,2,56,stable,True,2026-02-09,48.1,5.2,13.1,2 contractions detected; Pullback range: 5.2% - 13.1%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
STZ,0.8,2,61,stable,True,2026-02-09,163.61,6.4,11.5,2 contractions detected; Pullback range: 6.4% - 11.5%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
PSX,0.8,2,63,stable,True,2026-02-09,157.5,6.1,12.3,2 contractions detected; Pullback range: 6.1% - 12.3%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
ETN,0.8,2,64,stable,True,2026-02-09,377.06,6.3,12.0,2 contractions detected; Pullback range: 6.3% - 12.0%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
NSC,0.8,2,58,stable,True,2026-02-09,305.72,5.4,5.7,2 contractions detected; Pullback range: 5.4% - 5.7%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
WM,0.8,3,43,stable,True,2026-02-09,230.5,3.0,3.6,3 contractions detected; Pullback range: 3.0% - 3.6%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
CMCSA,0.8,2,57,stable,True,2026-02-09,31.61,4.9,5.5,2 contractions detected; Pullback range: 4.9% - 5.5%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
EQIX,0.8,4,62,stable,True,2026-02-09,857.74,3.2,4.9,4 contractions detected; Pullback range: 3.2% - 4.9%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
DLR,0.8,2,27,stable,True,2026-02-09,172.13,3.6,4.9,2 contractions detected; Pullback range: 3.6% - 4.9%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
CCI,0.8,3,55,stable,True,2026-02-17,91.86,6.8,8.0,3 contractions detected; Pullback range: 6.8% - 8.0%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
SHW,0.8,4,57,stable,True,2026-02-12,372.6,3.3,5.6,4 contractions detected; Pullback range: 3.3% - 5.6%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
CDNS,0.75,3,49,stable,False,,,6.6,8.9,3 contractions detected; Pullback range: 6.6% - 8.9%; Volume trend: stable; Price near recent highs; Confidence: 0.75
HD,0.75,3,56,stable,False,,,3.8,7.8,3 contractions detected; Pullback range: 3.8% - 7.8%; Volume trend: stable; Price near recent highs; Confidence: 0.75
EL,0.75,4,54,stable,False,,,5.6,8.7,4 contractions detected; Pullback range: 5.6% - 8.7%; Volume trend: stable; Price near recent highs; Confidence: 0.75
AVGO,0.7,4,61,increasing,True,2026-02-09,343.94,8.4,22.5,4 contractions detected; Pullback range: 8.4% - 22.5%; Volume trend: increasing; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.70
CSCO,0.7,2,62,increasing,True,2026-02-09,86.78,4.0,9.4,2 contractions detected; Pullback range: 4.0% - 9.4%; Volume trend: increasing; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.70
NXPI,0.7,4,62,increasing,True,2026-02-11,249.75,6.0,14.8,4 contractions detected; Pullback range: 6.0% - 14.8%; Volume trend: increasing; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.70
LOW,0.7,2,56,stable,True,2026-02-10,284.67,5.7,6.6,2 contractions detected; Pullback range: 5.7% - 6.6%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.70
KMB,0.7,2,41,increasing,True,2026-02-09,104.7,4.9,5.6,2 contractions detected; Pullback range: 4.9% - 5.6%; Volume trend: increasing; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.70
HSY,0.7,2,52,increasing,True,2026-02-09,229.04,6.5,6.5,2 contractions detected; Pullback range: 6.5% - 6.5%; Volume trend: increasing; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.70
EMR,0.7,2,62,increasing,True,2026-02-09,159.4,3.4,7.3,2 contractions detected; Pullback range: 3.4% - 7.3%; Volume trend: increasing; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.70
ITW,0.7,2,59,increasing,True,2026-02-09,290.58,4.0,5.3,2 contractions detected; Pullback range: 4.0% - 5.3%; Volume trend: increasing; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.70
IR,0.7,2,63,increasing,True,2026-02-09,98.39,6.5,8.0,2 contractions detected; Pullback range: 6.5% - 8.0%; Volume trend: increasing; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.70
DD,0.7,2,62,increasing,True,2026-02-09,47.1,3.9,4.0,2 contractions detected; Pullback range: 3.9% - 4.0%; Volume trend: increasing; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.70
TSLA,0.65,2,51,stable,False,,,14.3,16.3,2 contractions detected; Pullback range: 14.3% - 16.3%; Volume trend: stable; Price near recent highs; Confidence: 0.65
UNH,0.65,2,42,stable,False,,,6.8,7.4,2 contractions detected; Pullback range: 6.8% - 7.4%; Volume trend: stable; Price near recent highs; Confidence: 0.65
CVS,0.65,2,45,stable,False,,,5.0,5.1,2 contractions detected; Pullback range: 5.0% - 5.1%; Volume trend: stable; Price near recent highs; Confidence: 0.65
AXP,0.65,4,60,stable,False,,,3.8,9.2,4 contractions detected; Pullback range: 3.8% - 9.2%; Volume trend: stable; Price near recent highs; Confidence: 0.65
