symbol,confidence,contractions_count,base_length_days,volume_trend,breakout_detected,breakout_date,breakout_price,pullback_range_min,pullback_range_max,notes
AMAT,0.95,2,24,decreasing,True,2025-11-06,233.53,6.9,7.7,2 contractions detected; Pullback range: 6.9% - 7.7%; Volume trend: decreasing; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.95
AMGN,0.95,2,28,decreasing,True,2025-11-06,315.59,6.1,6.2,2 contractions detected; Pullback range: 6.1% - 6.2%; Volume trend: decreasing; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.95
DHR,0.9,2,32,stable,True,2025-11-13,221.2,8.1,8.4,2 contractions detected; Pullback range: 8.1% - 8.4%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.90
IDXX,0.9,5,55,stable,True,2025-11-06,713.74,3.7,9.2,5 contractions detected; Pullback range: 3.7% - 9.2%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.90
BAC,0.9,3,50,stable,True,2025-11-12,54.11,4.2,8.2,3 contractions detected; Pullback range: 4.2% - 8.2%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.90
MS,0.9,3,50,stable,True,2025-11-12,169.92,5.3,7.4,3 contractions detected; Pullback range: 5.3% - 7.4%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.90
SCHW,0.9,3,43,stable,True,2025-11-10,95.31,3.6,5.5,3 contractions detected; Pullback range: 3.6% - 5.5%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.90
BK,0.9,3,50,stable,True,2025-11-07,109.64,2.4,6.4,3 contractions detected; Pullback range: 2.4% - 6.4%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.90
DIS,0.9,3,68,stable,True,2025-11-11,114.85,4.7,6.9,3 contractions detected; Pullback range: 4.7% - 6.9%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.90
XOM,0.9,3,46,stable,True,2025-11-07,116.2,3.9,6.2,3 contractions detected; Pullback range: 3.9% - 6.2%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.90
APD,0.9,3,61,increasing,True,2025-11-06,258.79,8.5,11.1,3 contractions detected; Pullback range: 8.5% - 11.1%; Volume trend: increasing; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.90
AAPL,0.8,2,56,stable,True,2025-11-06,269.51,5.9,6.4,2 contractions detected; Pullback range: 5.9% - 6.4%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
GOOGL,0.8,2,41,stable,True,2025-11-06,284.75,6.2,6.8,2 contractions detected; Pullback range: 6.2% - 6.8%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
GOOG,0.8,2,41,stable,True,2025-11-06,285.34,6.2,6.8,2 contractions detected; Pullback range: 6.2% - 6.8%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
MRK,0.8,2,41,stable,True,2025-11-12,91.45,8.4,8.6,2 contractions detected; Pullback range: 8.4% - 8.6%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
GILD,0.8,2,40,stable,True,2025-11-06,123.4,6.1,6.2,2 contractions detected; Pullback range: 6.1% - 6.2%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
ISRG,0.8,4,64,stable,True,2025-11-07,560.0,4.7,9.1,4 contractions detected; Pullback range: 4.7% - 9.1%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
A,0.8,4,68,stable,True,2025-11-12,151.52,4.9,7.1,4 contractions detected; Pullback range: 4.9% - 7.1%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
JPM,0.8,2,44,stable,True,2025-11-06,313.42,6.9,7.0,2 contractions detected; Pullback range: 6.9% - 7.0%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.80
