symbol,confidence,contractions_count,base_length_days,volume_trend,breakout_detected,breakout_date,breakout_price,pullback_range_min,pullback_range_max,notes
AMD,1.0,3,54,decreasing,True,2026-01-13,220.97,5.0,26.3,3 contractions detected; Pullback range: 5.0% - 26.3%; Volume trend: decreasing; Price near recent highs; Breakout detected with volume confirmation; Confidence: 1.00
TXN,1.0,3,54,stable,True,2026-01-07,185.71,3.6,7.7,3 contractions detected; Pullback range: 3.6% - 7.7%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 1.00
LLY,1.0,2,43,decreasing,True,2026-01-07,1108.09,5.1,12.1,2 contractions detected; Pullback range: 5.1% - 12.1%; Volume trend: decreasing; Price near recent highs; Breakout detected with volume confirmation; Confidence: 1.00
GILD,1.0,2,49,decreasing,True,2026-01-21,129.11,7.7,8.3,2 contractions detected; Pullback range: 7.7% - 8.3%; Volume trend: decreasing; Price near recent highs; Breakout detected with volume confirmation; Confidence: 1.00
REGN,1.0,2,44,decreasing,True,2026-01-07,812.27,5.0,12.5,2 contractions detected; Pullback range: 5.0% - 12.5%; Volume trend: decreasing; Price near recent highs; Breakout detected with volume confirmation; Confidence: 1.00
ISRG,1.0,4,56,decreasing,True,2026-01-07,592.27,3.6,7.2,4 contractions detected; Pullback range: 3.6% - 7.2%; Volume trend: decreasing; Price near recent highs; Breakout detected with volume confirmation; Confidence: 1.00
BDX,1.0,2,29,decreasing,True,2026-01-07,202.71,3.5,3.9,2 contractions detected; Pullback range: 3.5% - 3.9%; Volume trend: decreasing; Price near recent highs; Breakout detected with volume confirmation; Confidence: 1.00
ILMN,1.0,3,37,stable,True,2026-01-07,150.14,5.7,6.0,3 contractions detected; Pullback range: 5.7% - 6.0%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 1.00
DXCM,1.0,2,60,decreasing,True,2026-01-07,70.1,6.0,6.6,2 contractions detected; Pullback range: 6.0% - 6.6%; Volume trend: decreasing; Price near recent highs; Breakout detected with volume confirmation; Confidence: 1.00
BLK,1.0,3,54,stable,True,2026-01-15,1156.65,2.3,9.8,3 contractions detected; Pullback range: 2.3% - 9.8%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 1.00
CME,1.0,3,47,stable,True,2026-01-16,279.5,4.1,6.3,3 contractions detected; Pullback range: 4.1% - 6.3%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 1.00
EL,1.0,3,62,stable,True,2026-01-09,113.73,6.0,8.8,3 contractions detected; Pullback range: 6.0% - 8.8%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 1.00
CMCSA,1.0,3,60,stable,True,2026-01-12,28.72,5.5,6.6,3 contractions detected; Pullback range: 5.5% - 6.6%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 1.00
SHW,1.0,3,62,stable,True,2026-01-08,341.03,4.7,8.4,3 contractions detected; Pullback range: 4.7% - 8.4%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 1.00
WFC,0.95,2,54,decreasing,True,2026-01-09,95.95,3.2,8.6,2 contractions detected; Pullback range: 3.2% - 8.6%; Volume trend: decreasing; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.95
IBM,0.9,3,62,stable,True,2026-01-12,312.18,6.2,11.3,3 contractions detected; Pullback range: 6.2% - 11.3%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.90
ABBV,0.9,2,55,stable,True,2026-01-07,231.56,6.1,8.0,2 contractions detected; Pullback range: 6.1% - 8.0%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.90
GS,0.9,2,53,stable,True,2026-01-07,941.02,5.5,10.4,2 contractions detected; Pullback range: 5.5% - 10.4%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.90
BK,0.9,3,54,stable,True,2026-01-07,120.45,2.6,7.3,3 contractions detected; Pullback range: 2.6% - 7.3%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.90
MO,0.9,3,38,stable,True,2026-01-13,60.15,3.0,3.7,3 contractions detected; Pullback range: 3.0% - 3.7%; Volume trend: stable; Price near recent highs; Breakout detected without volume confirmation; Confidence: 0.90
HON,0.9,2,34,stable,True,2026-01-07,199.51,2.7,7.5,2 contractions detected; Pullback range: 2.7% - 7.5%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.90
WM,0.9,3,39,stable,True,2026-01-21,226.49,3.0,5.0,3 contractions detected; Pullback range: 3.0% - 5.0%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.90
GD,0.9,2,41,stable,True,2026-01-07,344.23,3.4,6.1,2 contractions detected; Pullback range: 3.4% - 6.1%; Volume trend: stable; Price near recent highs; Breakout detected with volume confirmation; Confidence: 0.90
